my body cast a shadow over the grass	The sun was rising.	The grass was cut.	cause	0	0
my body disgorge a shadow over the grass	The sun was rising.	The grass was cut.	cause	0	0
my body cast a dwarf over the grass	The sun was rising.	The grass was cut.	cause	0	0
my body cast a phantom over the grass	The sun was rising.	The grass was cut.	cause	0	0
my amp body cast a shadow over the grass	The sun was rising.	The grass was cut.	cause	0	0
my body cast a weed shadow over the grass	The sun was rising.	The grass was cut.	cause	0	0
all over my body cast a shadow over the grass	The sun was rising.	The grass was cut.	cause	0	0
the friends tolerated her woman difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her booster difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the difficult tolerated her friends woman behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her friends difficult	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her quaker difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her ally friends difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman allow her friends difficult behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
the woman tolerated her friends difficult unmanageable behavior	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
met women the for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the met women for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the women met for deep brown	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the umber women met for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the coffee met for women	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
forgather the women met for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the women met for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
the cleaning lady met for coffee	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
offset the runner wore shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the runner wore shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
wore runner the shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the runner wore bear shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the runner shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the bear runner wore shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the runner wear off shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the smuggler wore shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
runner wore shorts	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
the guests of the party enshroud behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
of the party hid behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
the guests of the party hid behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
the guests of the party hid behind the tail end couch	It was a surprise party.	It was a birthday party.	cause	0	4
the company guests of the party hid behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
the guests of the political party hid behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
the client of the party hid behind the couch	It was a surprise party.	It was a birthday party.	cause	0	4
the guests of the party couch behind the hid	It was a surprise party.	It was a birthday party.	cause	0	4
the guests of the party hid behind couch the	It was a surprise party.	It was a birthday party.	cause	0	4
politician lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the politician lost election the	He ran negative campaign ads.	No one voted for him.	cause	1	5
politician the lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the politician election the lost	He ran negative campaign ads.	No one voted for him.	cause	1	5
the pol politician lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the politico lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the pol lost the election	He ran negative campaign ads.	No one voted for him.	cause	1	5
the politician lost the	He ran negative campaign ads.	No one voted for him.	cause	1	5
the stain shirt out of the came	I patched the shirt.	I bleached the shirt.	cause	1	6
the stain kod came out of the shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the stain came out of shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the blot came out of the shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the stain came out shirt the of	I patched the shirt.	I bleached the shirt.	cause	1	6
the filth came out of the shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the came stain out of the shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the derive stain came out of the shirt	I patched the shirt.	I bleached the shirt.	cause	1	6
the man sire a discount on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man mystify a discount on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man got a discount on his brush off groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man discount a got on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man got discount on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
groceries man got a discount on his the	He greeted the cashier.	He used a coupon.	cause	1	7
the man got a discount on his piece groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man got a on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the man got a ignore on his groceries	He greeted the cashier.	He used a coupon.	cause	1	7
the medico misdiagnosed the patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the dr physician misdiagnosed the patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the physician the misdiagnosed patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the physician misdiagnosed the affected role patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the doctor misdiagnosed the patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the physician misdiagnosed affected role the patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the patient misdiagnosed the physician	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the physician misdiagnosed the patient	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
the customer filed a complaint with the store amp manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the customer complaint a filed with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the customer register a complaint with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the customer filed a complaint with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the client filed a complaint with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the customer a filed complaint with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the customer filed a complaint with the put in manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
hive away the customer filed a complaint with the store manager	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
the womanhood repaired her faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the cleaning lady repaired her faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the faucet repaired her woman	The faucet was leaky.	The faucet was turned off.	cause	0	10
the her repaired woman faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the woman repaired her spigot faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the woman repaired cleaning lady her faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the repaired her faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the woman repaired her faucet	The faucet was leaky.	The faucet was turned off.	cause	0	10
the elderly cleaning woman suffered a stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
amp the elderly woman suffered a stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
the elderly woman suffered a stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
the elderly woman stroke a suffered	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
bear the elderly woman suffered a stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
the elderly woman suffered a solidus	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
woman elderly the suffered a stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
the elderly woman suffered stroke	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
the pond freeze down over for the winter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the pond froze over for the pool winter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the pond froze over for the winter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the the froze over for pond winter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the pond froze over for the overwinter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the pond froze over winter the for	People skated on the pond.	People brought boats to the pond.	effect	0	12
the freeze pond froze over for the winter	People skated on the pond.	People brought boats to the pond.	effect	0	12
the pond froze over the	People skated on the pond.	People brought boats to the pond.	effect	0	12
the wrongdoer offender violated parole	She was sent back to jail.	She stole money from a church.	effect	0	13
